1477010443000000	5.73907e-320	1.04187e-317
1477010443050000	5.73907e-320	8.21874
1477010443100000	0.0960933	8.21874
1477010443150000	0.0960933	3.52082
1477010443200000	0.220051	3.52082
1477010443250000	0.220051	2.52723
1477010443300000	0.236887	2.52723
1477010443350000	0.236887	4.16799
1477010443400000	0.00416709	4.16799
1477010443450000	0.00416709	0.247724
1477010443500000	1.07924	0.247724
1477010443550000	1.07924	1.48229
1477010443600000	2.1738	1.48229
1477010443650000	2.1738	4.01626
1477010443700000	0.307758	4.01626
1477010443750000	0.307758	1.96725
1477010443800000	12.4898	1.96725
1477010443850000	12.4898	2.2557
1477010443900000	2.46539	2.2557
1477010443950000	2.46539	1.578
1477010444000000	1.54879	1.578
1477010444050000	1.54879	4.1178
1477010444100000	3.83378	4.1178
1477010444150000	3.83378	0.876952
1477010444200000	0.345266	0.876952
1477010444250000	0.345266	3.88813
1477010444300000	3.45388	3.88813
1477010444350000	3.45388	3.59094
1477010444400000	0.60642	3.59094
1477010444450000	0.60642	2.83677
1477010444500000	0.647379	2.83677
1477010444550000	0.647379	6.55126
1477010444600000	1.04436	6.55126
1477010444650000	1.04436	6.48552
1477010444700000	0.84453	6.48552
1477010444750000	0.84453	4.52243
1477010444800000	3.53833	4.52243
1477010444850000	3.53833	4.98355
1477010444900000	1.6421	4.98355
1477010444950000	1.6421	4.85072
1477010445000000	1.29776	4.85072
1477010445050000	1.29776	1.45195
1477010445100000	1.47645	1.45195
1477010445150000	1.47645	1.15699
1477010445200000	0.579215	1.15699
1477010445250000	0.579215	1.28816
1477010445300000	0.509634	1.28816
1477010445350000	0.509634	0.838892
1477010445400000	4.16145	0.838892
1477010445450000	4.16145	3.70788
1477010445500000	3.57284	3.70788
1477010445550000	3.57284	12.3213
1477010445600000	1.11311	12.3213
1477010445650000	1.11311	0.559539
1477010445700000	1.808	0.559539
1477010445750000	1.808	1.02716
1477010445800000	1.96325	1.02716
1477010445850000	1.96325	4.44673
1477010445900000	3.19619	4.44673
1477010445950000	3.19619	3.37045
1477010446000000	2.68738	3.37045
1477010446050000	2.68738	0.583579
1477010446100000	0.604821	0.583579
1477010446150000	0.604821	2.37788
1477010446200000	2.31605	2.37788
1477010446250000	2.31605	0.492728
1477010446300000	1.58975	0.492728
1477010446350000	1.58975	6.90012
1477010446400000	3.47006	6.90012
